"nge_object_id","field_search_id","sport_name","predicted_field_type","predicted_sport","detected_sport"
823,9760,"Basketball","Buildings","Buildings","Baseball"
938,9760,"Baseball","Buildings","Buildings","Baseball"
939,9760,"Basketball","Buildings","Buildings","Baseball"
824,9764,"Soccer","Turf","Soccer","Tennis, Soccer"
825,9764,"Tennis","Grass","Soccer","Tennis, Baseball, Soccer"
940,9764,"Soccer","Turf","Soccer","Tennis, Soccer"
941,9764,"Tennis","Grass","Soccer","Tennis, Baseball, Soccer"
826,9765,"Tennis","Synthetic","Tennis","Tennis"
827,9765,"Tennis","Synthetic","Tennis","Tennis, Soccer"
828,9765,"Baseball","Turf","Soccer","Tennis"
829,9765,"Tennis","Synthetic","Tennis","Tennis"
830,9765,"Baseball","Turf","Soccer","Golf"
831,9765,"Tennis","Synthetic","Tennis","Tennis"
942,9765,"Tennis","Synthetic","Tennis","Tennis"
943,9765,"Tennis","Synthetic","Tennis","Tennis, Soccer"
944,9765,"Baseball","Turf","Soccer","Tennis"
945,9765,"Tennis","Synthetic","Tennis","Tennis"
946,9765,"Baseball","Turf","Soccer","Golf"
947,9765,"Tennis","Synthetic","Tennis","Tennis"
832,9766,"Baseball","Turf","Soccer","Baseball"
948,9766,"Baseball","Turf","Soccer","Baseball"
833,9768,"Baseball","Synthetic","Basketball","Tennis, Baseball"
949,9768,"Baseball","Synthetic","Basketball","Tennis, Baseball"
834,9770,"Tennis","Synthetic","Tennis","Tennis"
950,9770,"Tennis","Synthetic","Tennis","Tennis"
835,9771,"Stadium","Turf","Soccer","Stadium, Baseball"
951,9771,"Stadium","Turf","Soccer","Stadium, Baseball"
836,9774,"Tennis","Synthetic","Tennis","Tennis, Stadium"
837,9774,"Tennis","Synthetic","Tennis","Tennis, Stadium"
838,9774,"Tennis","Synthetic","Tennis","Tennis, Stadium"
839,9774,"Stadium","Grass","Soccer","Tennis, Stadium"
952,9774,"Tennis","Synthetic","Tennis","Tennis, Stadium"
953,9774,"Tennis","Synthetic","Tennis","Tennis, Stadium"
954,9774,"Tennis","Synthetic","Tennis","Tennis, Stadium"
955,9774,"Stadium","Grass","Soccer","Tennis, Stadium"
840,9775,"Stadium","Buildings","Buildings","Stadium, Baseball"
956,9775,"Stadium","Buildings","Buildings","Stadium, Baseball"
841,9780,"Soccer","Turf","Soccer","Soccer"
957,9780,"Soccer","Turf","Soccer","Soccer"
842,9782,"Baseball","Buildings","Buildings","Basketball, Baseball"
958,9782,"Baseball","Buildings","Buildings","Basketball, Baseball"
843,9783,"Stadium","Buildings","Buildings","Stadium"
959,9783,"Stadium","Buildings","Buildings","Stadium"
844,9784,"Stadium","Turf","Soccer","Stadium, Baseball"
960,9784,"Stadium","Turf","Soccer","Stadium, Baseball"
845,9789,"Soccer","Turf","Soccer","Soccer"
961,9789,"Soccer","Turf","Soccer","Soccer"
846,9790,"Tennis","Synthetic","Tennis","Tennis, Stadium"
847,9790,"Tennis","Synthetic","Tennis","Tennis, Stadium"
848,9790,"Tennis","Synthetic","Tennis","Tennis, Stadium"
849,9790,"Stadium","Grass","Soccer","Tennis, Stadium"
962,9790,"Tennis","Synthetic","Tennis","Tennis, Stadium"
963,9790,"Tennis","Synthetic","Tennis","Tennis, Stadium"
964,9790,"Tennis","Synthetic","Tennis","Tennis, Stadium"
965,9790,"Stadium","Grass","Soccer","Tennis, Stadium"
850,9791,"Tennis","Synthetic","Tennis","Tennis"
851,9791,"Tennis","Synthetic","Tennis","Tennis"
852,9791,"Tennis","Synthetic","Tennis","Tennis"
853,9791,"Tennis","Synthetic","Tennis","Tennis"
966,9791,"Tennis","Synthetic","Tennis","Tennis"
967,9791,"Tennis","Synthetic","Tennis","Tennis"
968,9791,"Tennis","Synthetic","Tennis","Tennis"
969,9791,"Tennis","Synthetic","Tennis","Tennis"
854,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
855,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
856,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
857,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
970,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
971,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
972,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
973,9792,"Tennis","Buildings","Buildings","Tennis, Stadium"
858,9793,"Baseball","Buildings","Buildings","Basketball, Baseball"
974,9793,"Baseball","Buildings","Buildings","Basketball, Baseball"
859,9794,"Tennis","Synthetic","Tennis","Tennis, Stadium"
860,9794,"Tennis","Synthetic","Tennis","Tennis, Stadium"
861,9794,"Tennis","Synthetic","Tennis","Tennis, Stadium"
975,9794,"Tennis","Synthetic","Tennis","Tennis, Stadium"
976,9794,"Tennis","Synthetic","Tennis","Tennis, Stadium"
977,9794,"Tennis","Synthetic","Tennis","Tennis, Stadium"
862,9796,"Tennis","Synthetic","Tennis","Tennis"
863,9796,"Tennis","Synthetic","Tennis","Tennis"
978,9796,"Tennis","Synthetic","Tennis","Tennis"
979,9796,"Tennis","Synthetic","Tennis","Tennis"
864,9797,"Baseball","Turf","Soccer","Baseball"
980,9797,"Baseball","Turf","Soccer","Baseball"
865,9798,"Tennis","Synthetic","Tennis","Tennis"
866,9798,"Tennis","Synthetic","Tennis","Tennis"
867,9798,"Tennis","Synthetic","Tennis","Tennis"
868,9798,"Tennis","Synthetic","Tennis","Tennis"
869,9798,"Tennis","Synthetic","Tennis","Tennis"
870,9798,"Tennis","Synthetic","Tennis","Tennis"
871,9798,"Tennis","Synthetic","Tennis","Tennis"
872,9798,"Tennis","Synthetic","Tennis","Tennis"
873,9798,"Tennis","Synthetic","Tennis","Tennis"
981,9798,"Tennis","Synthetic","Tennis","Tennis"
982,9798,"Tennis","Synthetic","Tennis","Tennis"
983,9798,"Tennis","Synthetic","Tennis","Tennis"
984,9798,"Tennis","Synthetic","Tennis","Tennis"
985,9798,"Tennis","Synthetic","Tennis","Tennis"
986,9798,"Tennis","Synthetic","Tennis","Tennis"
987,9798,"Tennis","Synthetic","Tennis","Tennis"
988,9798,"Tennis","Synthetic","Tennis","Tennis"
989,9798,"Tennis","Synthetic","Tennis","Tennis"
874,9799,"Tennis","Buildings","Buildings","Soccer, Tennis, Baseball"
875,9799,"Baseball","Turf","Baseball","Soccer, Tennis, Baseball"
789,9732,"Stadium","Turf","Soccer","Stadium, Baseball"
990,9799,"Tennis","Buildings","Buildings","Soccer, Tennis, Baseball"
991,9799,"Baseball","Turf","Baseball","Soccer, Tennis, Baseball"
876,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
877,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
878,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
879,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
880,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
881,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
882,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
992,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
993,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
994,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
995,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
996,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
997,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
998,9800,"Tennis","Synthetic","Tennis","Tennis, Baseball"
883,9802,"Tennis","Synthetic","Tennis","Tennis"
884,9802,"Tennis","Synthetic","Tennis","Tennis, Baseball"
885,9802,"Tennis","Synthetic","Tennis","Tennis"
886,9802,"Tennis","Synthetic","Tennis","Tennis, Baseball"
887,9802,"Tennis","Synthetic","Tennis","Tennis"
888,9802,"Tennis","Synthetic","Tennis","Tennis, Baseball"
999,9802,"Tennis","Synthetic","Tennis","Tennis"
1000,9802,"Tennis","Synthetic","Tennis","Tennis, Baseball"
1001,9802,"Tennis","Synthetic","Tennis","Tennis"
1002,9802,"Tennis","Synthetic","Tennis","Tennis, Baseball"
1003,9802,"Tennis","Synthetic","Tennis","Tennis"
1004,9802,"Tennis","Synthetic","Tennis","Tennis, Baseball"
889,9803,"Tennis","Synthetic","Tennis","Tennis"
890,9803,"Stadium","Synthetic","Basketball","Tennis"
1005,9803,"Tennis","Synthetic","Tennis","Tennis"
1006,9803,"Stadium","Synthetic","Basketball","Tennis"
891,9809,"Tennis","Synthetic","Tennis","Tennis, Stadium"
892,9809,"Tennis","Synthetic","Tennis","Tennis, Stadium"
893,9809,"Tennis","Synthetic","Tennis","Tennis, Stadium"
894,9809,"Stadium","Grass","Soccer","Tennis, Stadium"
1007,9809,"Tennis","Synthetic","Tennis","Tennis, Stadium"
1008,9809,"Tennis","Synthetic","Tennis","Tennis, Stadium"
1009,9809,"Tennis","Synthetic","Tennis","Tennis, Stadium"
1010,9809,"Stadium","Grass","Soccer","Tennis, Stadium"
895,9812,"Tennis","Synthetic","Tennis","Tennis, Stadium"
896,9812,"Tennis","Synthetic","Tennis","Tennis, Stadium"
897,9812,"Tennis","Synthetic","Tennis","Tennis, Stadium"
898,9812,"Stadium","Grass","Soccer","Tennis, Stadium"
1011,9812,"Tennis","Synthetic","Tennis","Tennis, Stadium"
1012,9812,"Tennis","Synthetic","Tennis","Tennis, Stadium"
1013,9812,"Tennis","Synthetic","Tennis","Tennis, Stadium"
1014,9812,"Stadium","Grass","Soccer","Tennis, Stadium"
899,9817,"Baseball","Buildings","Buildings","Basketball, Baseball"
1015,9817,"Baseball","Buildings","Buildings","Basketball, Baseball"
900,9823,"Tennis","Buildings","Buildings","Soccer, Tennis, Baseball"
901,9823,"Baseball","Turf","Baseball","Soccer, Tennis, Baseball"
1016,9823,"Tennis","Buildings","Buildings","Soccer, Tennis, Baseball"
1017,9823,"Baseball","Turf","Baseball","Soccer, Tennis, Baseball"
902,9825,"Baseball","Buildings","Buildings","Baseball"
903,9825,"Basketball","Buildings","Buildings","Baseball"
1018,9825,"Baseball","Buildings","Buildings","Baseball"
1019,9825,"Basketball","Buildings","Buildings","Baseball"
904,9826,"Baseball","Synthetic","Basketball","Tennis, Baseball"
1020,9826,"Baseball","Synthetic","Basketball","Tennis, Baseball"
